"","Occurrences","Words","Cluster","Color","Cluster_Label"
"9",48,"product innovation",1,"#E41A1C80","product innovation"
"11",39,"green product",1,"#E41A1C80","product innovation"
"15",29,"process innovation",1,"#E41A1C80","product innovation"
"17",40,"manufacturing firms",1,"#E41A1C80","product innovation"
"20",21,"innovation performance",1,"#E41A1C80","product innovation"
"26",16,"green creativity",1,"#E41A1C80","product innovation"
"32",18,"green process",1,"#E41A1C80","product innovation"
"36",19,"absorptive capacity",1,"#E41A1C80","product innovation"
"53",15,"innovation practices",1,"#E41A1C80","product innovation"
"57",9,"green performance",1,"#E41A1C80","product innovation"
"59",17,"firms green",1,"#E41A1C80","product innovation"
"60",12,"green human",1,"#E41A1C80","product innovation"
"76",12,"resource management",1,"#E41A1C80","product innovation"
"77",15,"chinese manufacturing",1,"#E41A1C80","product innovation"
"83",11,"human resource",1,"#E41A1C80","product innovation"
"107",9,"top management",1,"#E41A1C80","product innovation"
"109",9,"dynamic capability",1,"#E41A1C80","product innovation"
"113",14,"green product innovation",1,"#E41A1C80","product innovation"
"149",10,"environmental policies",1,"#E41A1C80","product innovation"
"158",11,"innovation evidence",1,"#E41A1C80","product innovation"
"191",10,"innovation literature",1,"#E41A1C80","product innovation"
"1",246,"green innovation",2,"#377EB880","green innovation"
"4",80,"environmental regulation",2,"#377EB880","green innovation"
"5",99,"sustainable development",2,"#377EB880","green innovation"
"7",56,"green technology",2,"#377EB880","green innovation"
"13",25,"technology innovation",2,"#377EB880","green innovation"
"14",31,"technological innovation",2,"#377EB880","green innovation"
"18",22,"innovation efficiency",2,"#377EB880","green innovation"
"19",21,"renewable energy",2,"#377EB880","green innovation"
"29",19,"carbon emissions",2,"#377EB880","green innovation"
"31",18,"innovation strategy",2,"#377EB880","green innovation"
"33",20,"environmental protection",2,"#377EB880","green innovation"
"37",11,"air pollution",2,"#377EB880","green innovation"
"38",15,"energy consumption",2,"#377EB880","green innovation"
"40",13,"green manufacturing",2,"#377EB880","green innovation"
"44",12,"carbon emission",2,"#377EB880","green innovation"
